Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры всего,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CKD,BRSD",Мясо,43.73,29.43,0.0,24.03,342,27,0.106,2.16,18,200,151,52,4.76,0.026,0,0,3.47,0.07,0.0,0.0,0.0,4.4,0.08,123,0.0,0.0,9.37,1.25,11.5,0,1.63,0,0,0,0,0,6.26,0.52,0,0.33
LAMB,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN&FAT,1/8""FAT,RAW",Мясо,64.93,17.84,0.0,16.97,229,13,0.145,1.43,20,168,284,74,3.67,0.011,0,0,2.47,0.339,0.0,0.0,0.0,7.5,0.133,66,0.0,0.0,6.91,0.718,8.189,0,0.88,0,0,0,0,0,4.934,0.557,0,0.261
LAMB,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CKD",Мясо,58.71,24.52,0.0,16.82,256,17,0.142,1.93,22,195,301,76,4.68,0.013,0,0,2.87,0.366,0.0,0.0,0.0,10.1,0.123,87,0.0,0.0,6.711,0.66,7.94,0,0.98,0,0,0,0,0,5.441,0.816,0,0.332
LAMB,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN,1/8""FAT,RAW",Мясо,73.22,20.25,0.0,6.18,142,12,0.165,1.59,22,188,320,83,4.21,0.013,0,0,2.77,0.386,0.0,0.0,0.0,8.6,0.149,64,0.0,0.0,2.53,0.276,2.54,0,0.99,0,0,0,0,0,5.595,0.618,0,0.293
LAMB,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN,1/8""FAT,CKD",Мясо,63.75,26.71,0.0,9.63,201,16,0.153,2.05,24,207,318,80,5.14,0.014,0,0,3.01,0.394,0.0,0.0,0.0,11.0,0.131,87,0.0,0.0,3.857,0.418,4.048,0,1.05,0,0,0,0,0,5.812,0.876,0,0.36
LAMB,"LAMB,AUS,IMP,FRSH,FAT,RAW",Мясо,25.08,6.27,0.0,68.87,648,19,0.046,0.63,7,71,112,33,1.06,0.0,0,0,1.06,0.111,0.0,0.0,0.0,4.0,0.057,77,0.0,0.0,27.975,2.844,35.353,0,0.35,0,0,0,0,0,1.753,0.263,0,0.107
LAMB,"LAMB,AUS,IMP,FRSH,FAT,CKD",Мясо,24.0,9.42,0.0,66.4,639,27,0.065,1.11,12,114,179,51,1.48,0.01,0,0,1.84,0.171,0.0,0.0,0.0,5.8,0.063,83,0.0,0.0,26.377,2.331,34.751,0,0.45,0,0,0,0,0,2.89,0.4,0,0.14
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN&FAT,1/8""FAT,RAW",Мясо,68.31,18.85,0.0,12.68,195,12,0.092,1.38,19,158,270,96,5.4,0.009,0,0,2.48,0.264,0.0,0.0,0.0,7.2,0.094,67,0.0,0.0,5.293,0.596,5.981,0,0.85,0,0,0,0,0,5.265,0.623,0,0.219
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD",Мясо,60.47,24.78,0.0,14.44,236,16,0.116,1.79,21,167,244,93,6.96,0.011,0,0,3.0,0.244,0.0,0.0,0.0,8.3,0.086,91,0.0,0.0,5.959,0.601,6.794,0,0.78,0,0,0,0,0,5.013,0.618,0,0.262
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8""FAT,RAW",Мясо,75.13,20.83,0.0,3.81,123,11,0.099,1.5,20,171,295,106,6.08,0.01,0,0,2.71,0.288,0.0,0.0,0.0,8.0,0.1,66,0.0,0.0,1.712,0.241,1.344,0,0.93,0,0,0,0,0,5.82,0.68,0,0.237
LAMB,"LAMB,AUS,IMP,FRSH,FORESHANK,LN,1/8""FAT,CKD,BRSD",Мясо,66.93,27.5,0.0,5.22,165,14,0.125,1.91,22,177,255,100,7.93,0.011,0,0,3.2,0.257,0.0,0.0,0.0,9.0,0.09,92,0.0,0.0,2.338,0.294,1.884,0,0.83,0,0,0,0,0,5.39,0.657,0,0.283
LAMB,"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW",Мясо,66.33,18.24,0.0,15.19,215,10,0.173,1.48,20,173,295,73,3.75,0.011,0,0,2.7,0.359,0.0,0.0,0.0,4.2,0.14,66,0.0,0.0,6.226,0.657,7.288,0,0.95,0,0,0,0,0,4.964,0.488,0,0.287
LAMB,"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN,1/8""FAT,RAW",Мясо,73.98,20.46,0.0,5.23,135,8,0.196,1.64,23,192,329,81,4.25,0.013,0,0,3.01,0.406,0.0,0.0,0.0,4.6,0.155,64,0.0,0.0,2.19,0.251,2.081,0,1.06,0,0,0,0,0,5.56,0.53,0,0.32
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN&FAT,1/8""FAT,RAW",Мясо,67.64,18.59,0.0,13.48,201,9,0.181,1.48,20,176,301,75,4.04,0.01,0,0,2.75,0.367,0.0,0.0,0.0,7.8,0.142,66,0.0,0.0,5.549,0.57,6.389,0,0.98,0,0,0,0,0,5.06,0.495,0,0.292
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,RAW",Мясо,74.08,20.45,0.0,5.1,133,7,0.202,1.61,22,191,329,81,4.5,0.012,0,0,3.01,0.406,0.0,0.0,0.0,8.7,0.155,64,0.0,0.0,2.157,0.246,2.008,0,1.08,0,0,0,0,0,5.56,0.53,0,0.32
LAMB,"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN HALF,BNLESS,LN&FAT,1/8""FAT,RAW",Мясо,62.63,17.25,0.0,20.0,254,12,0.148,1.5,20,167,279,70,2.95,0.013,0,0,2.57,0.339,0.0,0.0,0.0,8.0,0.133,66,0.0,0.0,8.101,0.823,9.754,0,0.87,0,0,0,0,0,4.695,0.469,0,0.272
